Real_News_Title_Word,Real_News_Title_Frequency,Fake_News_Title_Word,Fake_News_Title_Frequency
trump,5406,trump,8705
say,3223,video,8449
house,1445,obama,2476
republican,973,hillary,2189
north,925,watch,1905
russia,912,clinton,1136
korea,881,president,1108
new,862,get,936
white,807,black,933
state,803,new,895
china,766,breaking,880
senate,759,tweet,873
court,751,white,872
bill,715,republican,862
tax,657,news,858
clinton,649,donald,843
obama,641,muslim,797
vote,636,gop,794
talk,595,make,746
deal,592,democrat,746
call,586,say,723
leader,583,american,679
election,576,woman,677
eu,565,medium,665
may,556,america,663
official,544,go,652
iran,511,show,636
plan,504,supporter,629
president,500,one,592
minister,484,u,590
pm,462,bill,590
syria,448,state,572
south,439,call,560
probe,436,house,544
senator,430,cnn,524
attack,424,liberal,523
factbox,419,racist,510
chief,416,people,502
police,413,attack,483
government,412,campaign,463
party,411,fox,447
democrat,410,election,446
lawmaker,405,want,446
source,402,tell,429
brexit,398,back,425
seek,380,give,422
russian,375,take,421
urge,373,fbi,417
turkey,371,cop,416
congress,369,speech,413
uk,352,man,410
sanction,351,vote,402
security,331,time,397
ban,328,fake,394
top,325,gun,393
military,320,like,392
back,315,host,376
nuclear,311,twitter,375
law,310,conservative,375
meet,309,wow,374
rule,307,day,372
saudi,306,war,370
want,305,terrorist,368
campaign,304,million,367
governor,299,police,365
right,298,lie,356
myanmar,286,bernie,354
visit,279,image,347
trade,276,right,341
german,274,russian,334
opposition,269,student,334
presidential,267,year,333
former,265,first,332
report,264,sander,332
healthcare,261,cruz,327
foreign,259,russia,322
putin,255,illegal,321
britain,255,life,320
order,254,voter,318
islamic,253,claim,315
border,249,former,312
panel,246,law,309
budget,245,senator,306
poll,245,school,306
force,244,refugee,304
reform,243,old,296
mexico,242,report,293
group,240,rally,292
tillerson,240,plan,290
crisis,239,judge,290
policy,239,room,282
move,238,reporter,281
supreme,237,detail,279
japan,237,email,276
would,236,f,276
syrian,236,court,273
win,231,party,272
meeting,229,caught,267
take,229,protester,265
fight,227,win,264
